evaluated_model,ground_truth_label,count,mean,std,min,max,risk_factor,stability_score
qwen3-vl-plus,cough,14,0.05,0.07,0.0,0.267,0.05,0.93
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,handshake,14,1.0,0.0,1.0,1.0,0.0,1.0
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,strechoneself,1,1.0,,1.0,1.0,0.0,1.0
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,walk,13,1.0,0.0,1.0,1.0,0.0,1.0
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,drink,14,0.964,0.134,0.5,1.0,0.464,0.866
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,bow,14,0.933,0.026,0.9,0.967,0.033,0.974
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,liftupahand,14,0.91,0.122,0.567,1.0,0.343,0.878
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,pickup,14,0.874,0.05,0.783,1.0,0.09,0.95
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,sit,14,0.874,0.264,0.133,1.0,0.74,0.736
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,freestyle,54,0.812,0.241,0.033,1.0,0.779,0.759
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,sleep,14,0.8,0.318,0.033,0.933,0.767,0.682
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,handwave,14,0.77,0.324,0.033,1.0,0.737,0.676
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,hug,14,0.764,0.388,0.1,1.0,0.664,0.612
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,playphone,14,0.733,0.439,0.0,1.0,0.733,0.561
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,jumprope,14,0.725,0.291,0.133,1.0,0.592,0.709
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,squat,14,0.719,0.392,0.067,1.0,0.652,0.608
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,stretchoneself,13,0.715,0.321,0.067,0.933,0.649,0.679
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,makevictorysign,14,0.701,0.386,0.167,1.0,0.535,0.614
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,thumbup,14,0.681,0.382,0.233,1.0,0.448,0.618
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,boxing,14,0.648,0.38,0.1,1.0,0.548,0.62
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,moppingfloor,14,0.643,0.349,0.033,0.9,0.61,0.651
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,jog,14,0.636,0.275,0.067,1.0,0.569,0.725
